patientid, geneid, expression_value
patient1,69,1375658.71
patient1,70,665954.42
patient1,71,445566.31
patient1,72,2003603.48
patient1,73,1372566.12
patient1,74,1542797.07
patient1,75,110281.91
patient1,76,-173640.75
patient1,77,709291.81
patient1,78,546370.70
patient1,79,193784.20
patient1,80,237326.60
patient1,81,971631.64
patient1,82,658485.22
patient1,83,379078.38
patient1,84,1997169.15
patient1,85,-63474.06
patient1,86,1024349.10
patient1,87,-93679.24
patient1,88,1001514.35
patient1,89,96872.49
patient1,90,645567.85
patient1,91,1861216.70
patient1,92,1891399.80
patient1,93,439153.30
patient1,94,615892.19
patient1,95,1895366.89
patient1,96,1435359.97
patient1,97,477154.94
patient1,98,1376634.64
patient1,99,1004949.69
patient2,0,479303.82
patient2,1,327931.43
patient2,2,105598.33
patient2,3,-76936.42
patient2,4,1488883.24
patient2,5,349589.89
patient2,6,-31799.93
patient2,7,1833177.80
patient2,8,326922.77
patient2,9,-118702.21
patient2,10,-118785.78
patient2,11,-51894.80
patient2,12,-186269.65
patient2,13,1037357.89
patient2,14,209820.36
patient2,15,487655.21
patient2,16,1084154.39
patient2,17,697292.01
patient2,18,126810.49
patient2,19,1511313.72
patient2,20,27413.80
patient2,21,1928544.31
patient2,22,1204742.87
patient2,23,1997182.03
patient2,24,1693467.58
patient2,25,202533.95
patient2,26,999338.25
patient2,27,1567645.14
patient2,28,531063.50
patient2,29,182601.78
patient2,30,1916431.99
patient2,31,988207.48
patient2,32,143230.57
patient2,33,408804.64
patient2,34,-138288.23
patient2,35,1165381.09
patient2,36,-90258.75
patient2,37,1500763.12
patient2,38,1682209.90
patient2,39,369201.49
patient2,40,870495.76
patient2,41,1957984.68
patient2,42,451877.30
patient2,43,843955.52
patient2,44,767700.30
patient2,45,206208.83
patient2,46,550113.88
patient2,47,541140.57
patient2,48,944650.20
patient2,49,269463.71
patient2,50,1548928.20
patient2,51,521590.55
patient2,52,1324053.07
patient2,53,69551.45
patient2,54,806893.19
patient2,55,1065246.82
patient2,56,1372610.26
patient2,57,1539705.18
patient2,58,797112.32
patient2,59,1596455.41
patient2,60,893057.86
patient2,61,-88151.27
patient2,62,384034.25
patient2,63,1513078.47
patient2,64,901379.07
patient2,65,38064.95
patient2,66,1653312.05
patient2,67,1224336.14
patient2,68,1847123.64
patient2,69,1406518.32
patient2,70,1137371.17
patient2,71,1295456.39
patient2,72,1813369.18
patient2,73,1101294.27
patient2,74,723692.22
patient2,75,1131045.54
patient2,76,163944.47
patient2,77,438996.19
patient2,78,-151963.11
patient2,79,492089.71
patient2,80,1070462.48
patient2,81,450957.24
patient2,82,453103.35
patient2,83,-146773.96
patient2,84,-23273.51
patient2,85,1558932.49
patient2,86,724026.28
patient2,87,-103658.92
patient2,88,456292.67
patient2,89,867296.36
patient2,90,370556.21
patient2,91,1707187.17
patient2,92,958493.37
patient2,93,1053794.87
patient2,94,722069.65
patient2,95,1725564.39
patient2,96,169652.05
patient2,97,1572966.47
patient2,98,389209.64
patient2,99,275558.52
patient3,0,728884.68
patient3,1,424755.85
patient3,2,877213.01
patient3,3,1325874.23
patient3,4,349695.85
patient3,5,383356.28
patient3,6,229004.59
patient3,7,1011244.78
patient3,8,1714315.95
patient3,9,-84929.72
patient3,10,1764989.19
patient3,11,812477.55
patient3,12,624188.70
patient3,13,1243393.71
patient3,14,687566.48
patient3,15,1526367.78
patient3,16,1179696.16
patient3,17,542602.42
patient3,18,217099.29
patient3,19,14190.07
patient3,20,1001547.10
patient3,21,412891.22
patient3,22,1973015.64
patient3,23,550020.52
patient3,24,14008.25
patient3,25,374180.39
patient3,26,607780.47
patient3,27,876296.56
patient3,28,1771183.45
patient3,29,728290.97
patient3,30,1475703.07
patient3,31,1895337.69
patient3,32,383226.29
patient3,33,416617.88
patient3,34,274174.30
patient3,35,949948.98
patient3,36,-20794.07
patient3,37,578043.93
patient3,38,35820.72
patient3,39,306836.02
patient3,40,1664623.45
patient3,41,483714.98
patient3,42,1116642.01
patient3,43,-30447.92
patient3,44,1340193.21
patient3,45,-25374.92
patient3,46,1539658.86
patient3,47,1657735.59
patient3,48,1908988.91
patient3,49,192456.07
patient3,50,22342.14
patient3,51,628344.70
patient3,52,35720.20
patient3,53,1637713.21
patient3,54,1835781.74
patient3,55,125680.14
patient3,56,294552.88
patient3,57,-23708.30
patient3,58,1540709.18
patient3,59,1638319.38
patient3,60,483366.26
patient3,61,1504955.21
patient3,62,410100.25
patient3,63,545961.73
patient3,64,38711.74
patient3,65,468496.26
patient3,66,1567948.14
patient3,67,687399.17
patient3,68,705441.04
patient3,69,1221161.62
patient3,70,1387555.86
patient3,71,629546.50
patient3,72,555058.00
patient3,73,1346554.84
patient3,74,747350.17
patient3,75,1990616.19
patient3,76,1262659.82
patient3,77,1490888.51
patient3,78,-28951.05
patient3,79,221530.22
patient3,80,743767.95
patient3,81,449069.79
patient3,82,733619.02
patient3,83,570468.67
patient3,84,985095.19
patient3,85,525763.26
patient3,86,1348030.58
patient3,87,1044304.92
patient3,88,1535962.11
patient3,89,620783.35
patient3,90,734129.89
patient3,91,1852251.45
patient3,92,-123390.38
patient3,93,355817.04
patient3,94,-34309.22
patient3,95,1579931.91
patient3,96,633448.77
patient3,97,335033.81
patient3,98,940317.87
patient3,99,1278184.32
patient4,0,162641.03
patient4,1,533716.91
patient4,2,815000.75
patient4,3,790970.89
patient4,4,69536.17
patient4,5,975091.94
patient4,6,1035914.17
patient4,7,554283.04
patient4,8,1020897.99
patient4,9,1930362.22
patient4,10,574857.78
patient4,11,327538.17
patient4,12,131858.16
patient4,13,1803972.94
patient4,14,1054408.20
patient4,15,531124.40
patient4,16,839890.67
patient4,17,1083845.71
patient4,18,1858785.15
patient4,19,597428.68
patient4,20,684281.74
patient4,21,-13476.31
patient4,22,1290264.56
patient4,23,738061.37
patient4,24,315728.59
patient4,25,330314.06
patient4,26,1816966.32
patient4,27,419589.11
patient4,28,1298587.38
patient4,29,1287074.90
patient4,30,659458.40
patient4,31,697277.31
patient4,32,822143.83
patient4,33,1164410.51
patient4,34,1946985.87
patient4,35,972264.29
patient4,36,1600575.86
patient4,37,-154458.31
patient4,38,806760.73
patient4,39,1362356.03
patient4,40,888735.84
patient4,41,1949713.60
patient4,42,1212594.97
patient4,43,1817027.28
patient4,44,1220208.76
patient4,45,317282.52
patient4,46,-64724.84
patient4,47,341545.88
patient4,48,1571097.48
patient4,49,1817522.89
patient4,50,264603.97
patient4,51,1084601.81
patient4,52,371794.92
patient4,53,-43788.05
patient4,54,1181534.73
patient4,55,1109885.41
patient4,56,842413.04
patient4,57,1237722.10
patient4,58,1444798.56
patient4,59,1221814.42
patient4,60,54462.26
patient4,61,478372.55
patient4,62,-16470.96
patient4,63,260786.68
patient4,64,463408.74
patient4,65,950481.32
patient4,66,623500.13
patient4,67,798107.06
patient4,68,338807.42
patient4,69,-179908.14
patient4,70,229259.74
patient4,71,845966.90
patient4,72,962465.42
patient4,73,-107313.55
patient4,74,-55089.35
patient4,75,-7358.45
patient4,76,1526054.33
patient4,77,964854.09
patient4,78,131287.08
patient4,79,1715923.50
patient4,80,1935107.47
patient4,81,1129520.33
patient4,82,-90038.34
patient4,83,191719.63
patient4,84,897026.54
patient4,85,1895172.62
patient4,86,99508.66
patient4,87,377456.97
patient4,88,1348511.91
patient4,89,1449775.25
patient4,90,1843865.56
patient4,91,1897807.00
patient4,92,939550.88
patient4,93,459489.11
patient4,94,921769.53
patient4,95,232098.37
patient4,96,1762478.71
patient4,97,1413678.24
patient4,98,440908.13
patient4,99,1514738.11
patient5,0,274092.85
patient5,1,35916.48
patient5,2,364701.84
patient5,3,221314.81
patient5,4,223083.79
patient5,5,394669.22
patient5,6,1942647.08
patient5,7,825845.12
patient5,8,1413580.08
patient5,9,778228.26
patient5,10,1342511.52
patient5,11,134275.50
patient5,12,228499.45
patient5,13,1085221.26
patient5,14,1840473.98
patient5,15,-138121.29
patient5,16,1493600.37
patient5,17,543871.40
patient5,18,812079.85
patient5,19,82712.70
patient5,20,1695085.34
patient5,21,656034.50
patient5,22,646975.81
patient5,23,455151.32
patient5,24,1194413.82
patient5,25,1722533.46
patient5,26,1842554.16
patient5,27,1149685.35
patient5,28,1626833.38
patient5,29,1616965.63
patient5,30,-160631.35
patient5,31,1877092.57
patient5,32,376843.02
patient5,33,1802989.19
patient5,34,1630464.78
patient5,35,48229.51
patient5,36,1782757.15
patient5,37,1793264.94
patient5,38,613488.52
patient5,39,-19843.22
patient5,40,72556.14
patient5,41,258861.64
patient5,42,356729.76
patient5,43,-42952.42
patient5,44,1498961.37
patient5,45,287211.77
patient5,46,690912.31
patient5,47,1131773.13
patient5,48,341169.24
patient5,49,-141594.97
patient5,50,1413874.30
patient5,51,1118250.77
patient5,52,-101658.20
patient5,53,700330.01
patient5,54,555194.54
patient5,55,1319860.59
patient5,56,1826564.06
patient5,57,1938365.28
patient5,58,1622221.21
patient5,59,-158501.78
patient5,60,111026.28
patient5,61,387870.92
patient5,62,988949.19
patient5,63,-59926.06
patient5,64,1397450.02
patient5,65,1001427.09
patient5,66,438249.93
patient5,67,1237136.27
patient5,68,1107168.84
patient5,69,803432.30
patient5,70,829105.21
patient5,71,1530520.07
patient5,72,1526037.50
patient5,73,1899514.40
patient5,74,661474.60
patient5,75,1356151.79
patient5,76,390991.51
patient5,77,562802.03
patient5,78,1239782.52
patient5,79,1209216.88
patient5,80,1183580.70
patient5,81,41207.10
patient5,82,355752.82
patient5,83,1584911.44
patient5,84,309097.11
patient5,85,1053117.28
patient5,86,1222260.76
patient5,87,1585863.60
patient5,88,842700.28
patient5,89,890278.15
patient5,90,1618110.32
patient5,91,655065.34
patient5,92,1030079.88
patient5,93,54338.77
patient5,94,520197.53
patient5,95,215114.67
patient5,96,1257513.94
patient5,97,675499.77
patient5,98,1856896.56
patient5,99,1951261.05
patient6,0,1754968.34
patient6,1,859298.29
patient6,2,-133386.01
patient6,3,446462.80
patient6,4,-92290.62
patient6,5,535632.92
patient6,6,200145.69
patient6,7,2003247.33
patient6,8,-113473.44
patient6,9,1820749.61
patient6,10,1585037.28
patient6,11,1358550.65
patient6,12,1317693.98
patient6,13,133424.55
patient6,14,181103.58
patient6,15,401916.71
patient6,16,-104652.49
patient6,17,269428.35
patient6,18,882990.37
patient6,19,702988.79
patient6,20,-176893.44
patient6,21,1087665.84
patient6,22,1416901.09
patient6,23,823324.98
patient6,24,1742912.41
patient6,25,1593788.44
patient6,26,1151606.69
patient6,27,1643579.21
patient6,28,344491.96
patient6,29,-32554.68
patient6,30,811756.77
patient6,31,1969452.47
patient6,32,263834.29
patient6,33,280755.05
patient6,34,1735202.68
patient6,35,1985590.92
patient6,36,1713127.75
patient6,37,90640.40
patient6,38,-57732.74
patient6,39,599207.12
patient6,40,600210.90
patient6,41,-152680.17
patient6,42,1245627.52
patient6,43,1200691.64
patient6,44,84113.34
patient6,45,898007.90
patient6,46,951020.48
patient6,47,1434842.21
patient6,48,1882912.70
patient6,49,1537388.38
patient6,50,1323025.80
patient6,51,1176755.36
patient6,52,450386.91
patient6,53,146664.47
patient6,54,56818.18
patient6,55,-100270.63
patient6,56,21355.71
patient6,57,178073.33
patient6,58,1570785.97
patient6,59,1692223.05
patient6,60,1383024.71
patient6,61,1785199.36
patient6,62,1240927.31
patient6,63,1910069.62
patient6,64,726929.22
patient6,65,294792.11
patient6,66,1973151.51
patient6,67,133139.10
patient6,68,1895748.82
patient6,69,-100462.97
patient6,70,1139374.71
patient6,71,1550453.95
patient6,72,991249.36
patient6,73,1489787.69
patient6,74,894559.82
patient6,75,900578.55
patient6,76,1105048.34
patient6,77,748572.46
patient6,78,1734546.85
patient6,79,1065735.57
patient6,80,1408116.86
patient6,81,861879.44
patient6,82,83768.00
patient6,83,1493723.10
patient6,84,1889156.35
patient6,85,300966.75
patient6,86,907260.91
patient6,87,1461840.90
patient6,88,-162334.03
patient6,89,1028670.56
patient6,90,1731047.52
patient6,91,990954.29
patient6,92,571115.71
patient6,93,1267646.33
patient6,94,761264.37
patient6,95,1972977.17
patient6,96,1304370.06
patient6,97,823478.83
patient6,98,1388482.41
patient6,99,1529860.01
patient7,0,1606982.31
patient7,1,1745659.96
patient7,2,820128.60
patient7,3,946755.58
patient7,4,759549.91
patient7,5,824154.43
patient7,6,693609.42
patient7,7,1093658.01
patient7,8,1034701.68
patient7,9,1808825.22
patient7,10,828186.16
patient7,11,99069.14
patient7,12,899285.05
patient7,13,-140363.29
patient7,14,932413.31
patient7,15,1106252.24
patient7,16,314787.73
patient7,17,363344.66
patient7,18,356690.13
patient7,19,1972378.13
patient7,20,1884610.91
patient7,21,870515.18
patient7,22,-178240.78
patient7,23,1728663.39
patient7,24,360732.70
patient7,25,-156202.51
patient7,26,109763.41
patient7,27,1944543.77
patient7,28,274409.34
patient7,29,805987.05
patient7,30,722144.27
patient7,31,1959024.60
patient7,32,1161944.57
patient7,33,744602.44
patient7,34,485459.81
patient7,35,1686418.86
patient7,36,-52825.92
patient7,37,479822.06
patient7,38,1940247.33
patient7,39,-106892.79
patient7,40,1193854.12
patient7,41,1177149.42
patient7,42,1211363.54
patient7,43,-148760.24
patient7,44,1985889.28
patient7,45,1834996.58
patient7,46,965526.36
patient7,47,784799.09
patient7,48,1694374.22
patient7,49,1822770.60
patient7,50,617524.16
patient7,51,667863.96
patient7,52,232897.91
patient7,53,1736884.27
patient7,54,448840.56
patient7,55,1637944.36
patient7,56,1762997.07
patient7,57,1880839.37
patient7,58,1273439.84
patient7,59,1314741.40
patient7,60,1990452.79
patient7,61,46306.62
patient7,62,745198.46
patient7,63,861061.91
patient7,64,130221.12
patient7,65,1450521.43
patient7,66,455262.39
patient7,67,862433.26
patient7,68,974573.41
patient7,69,1453573.73
patient7,70,560252.06
patient7,71,1429776.84
patient7,72,760547.25
patient7,73,1528573.56
patient7,74,768454.68
patient7,75,1725687.66
patient7,76,1505343.74
patient7,77,1992557.01
patient7,78,796705.53
patient7,79,770235.22
patient7,80,807743.25
patient7,81,1423493.25
patient7,82,1962471.24
patient7,83,577194.13
patient7,84,474472.39
patient7,85,166435.02
patient7,86,1951896.62
patient7,87,873464.38
patient7,88,1072039.93
patient7,89,-168021.10
patient7,90,1755583.14
patient7,91,1147136.09
patient7,92,254748.84
patient7,93,161553.31
patient7,94,296011.90
patient7,95,1555578.43
patient7,96,1687658.62
patient7,97,63315.67
patient7,98,1199594.51
patient7,99,1277775.83
patient8,0,1279884.03
patient8,1,1424960.63
patient8,2,1145681.59
patient8,3,623145.04
patient8,4,859554.15
patient8,5,1923159.10
patient8,6,1139077.14
patient8,7,1674837.21
patient8,8,1642794.97
patient8,9,65860.63
patient8,10,573569.97
patient8,11,874368.29
patient8,12,299560.02
patient8,13,1756745.56
patient8,14,900362.35
patient8,15,1245190.38
patient8,16,274268.73
patient8,17,1792431.21
patient8,18,1719568.24
patient8,19,-178196.38
patient8,20,192597.60
patient8,21,302511.81
patient8,22,1715363.97
patient8,23,1798256.72
patient8,24,1474928.70
patient8,25,41294.46
patient8,26,163897.93
patient8,27,1186798.55
patient8,28,245818.15
patient8,29,490210.70
patient8,30,449253.45
patient8,31,64570.07
patient8,32,-11194.96
patient8,33,1943704.69
patient8,34,570532.39
patient8,35,457013.79
patient8,36,388186.57
patient8,37,1100283.31
patient8,38,-43528.06
patient8,39,1001255.04
patient8,40,-134314.39
patient8,41,57740.15
patient8,42,988833.96
patient8,43,511529.13
patient8,44,626746.51
patient8,45,-71406.12
patient8,46,1752246.71
patient8,47,-81168.54
patient8,48,1941821.70
patient8,49,1320925.02
patient8,50,1682407.43
patient8,51,564564.12
patient8,52,1775063.03
patient8,53,1292027.25
patient8,54,447579.92
patient8,55,505800.29
patient8,56,905719.40
patient8,57,1226744.06
patient8,58,687891.05
patient8,59,1764153.47
patient8,60,959320.95
patient8,61,886140.34
patient8,62,1709387.20
patient8,63,1442259.66
patient8,64,1661644.16
patient8,65,657380.84
patient8,66,1868071.18
patient8,67,810910.69
patient8,68,1873001.36
patient8,69,238425.87
patient8,70,1151120.45
patient8,71,1466908.03
patient8,72,-163095.94
patient8,73,935622.25
patient8,74,1207772.59
patient8,75,1223173.85
patient8,76,1205119.43
patient8,77,782115.11
patient8,78,1422526.74
patient8,79,-76657.73
patient8,80,543523.38
patient8,81,54298.64
patient8,82,1785922.35
patient8,83,1725732.78
patient8,84,1026594.44
patient8,85,569251.26
patient8,86,152636.81
patient8,87,1185463.29
patient8,88,1498278.55
patient8,89,123636.64
patient8,90,1781143.41
patient8,91,-46501.62
patient8,92,1493219.64
patient8,93,1559944.30
patient8,94,1183201.86
patient8,95,-143357.51
patient8,96,379704.63
patient8,97,271055.24
patient8,98,1230359.25
patient8,99,-132250.91
patient9,0,-72492.87
patient9,1,1969120.30
patient9,2,628509.29
patient9,3,1755767.71
patient9,4,1068944.88
patient9,5,1308237.65
patient9,6,-73425.58
patient9,7,922117.51
patient9,8,1819865.84
patient9,9,1452243.49
patient9,10,669897.72
patient9,11,1576337.39
patient9,12,105247.33
patient9,13,593983.39
patient9,14,552070.36
patient9,15,1360813.16
patient9,16,1785187.59
patient9,17,1110203.67
patient9,18,1636768.56
patient9,19,997642.06
patient9,20,4930.57
patient9,21,-149191.37
patient9,22,341289.98
patient9,23,334045.00
patient9,24,-58185.87
patient9,25,265111.79
patient9,26,1053708.47
patient9,27,-19496.60
patient9,28,875694.61
patient9,29,1125358.24
patient9,30,1554788.49
patient9,31,1047320.29
patient9,32,-77815.64
patient9,33,882577.19
patient9,34,634358.11
patient9,35,722100.95
patient9,36,287851.44
patient9,37,1896801.32
patient9,38,1791080.20
patient9,39,2005180.33
patient9,40,-135930.76
patient9,41,3139.62
patient9,42,690258.82
patient9,43,1089321.88
patient9,44,1435261.59
patient9,45,-122560.57
patient9,46,1698608.32
patient9,47,1624327.01
patient9,48,1872581.67
patient9,49,-159318.44
patient9,50,846644.81
patient9,51,842862.18
patient9,52,-33746.58
patient9,53,381140.71
patient9,54,790961.42
patient9,55,641662.93
patient9,56,1054982.87
patient9,57,1854146.21
patient9,58,1287024.75
patient9,59,1351105.23
patient9,60,394338.74
patient9,61,1057489.84
patient9,62,1665641.17
patient9,63,1548345.84
patient9,64,-100320.33
patient9,65,1528351.90
patient9,66,206809.82
patient9,67,425727.07
patient9,68,1456382.50
patient9,69,354565.97
patient9,70,1879184.59
patient9,71,589500.68
patient9,72,1549376.89
patient9,73,631518.69
patient9,74,1427766.71
patient9,75,1913271.36
patient9,76,1557295.93
patient9,77,1548808.30
patient9,78,848497.53
patient9,79,1640083.86
patient9,80,-154498.26
patient9,81,1314778.46
patient9,82,1001362.07
patient9,83,858283.06
patient9,84,1368029.58
patient9,85,1523322.22
patient9,86,1182023.00
patient9,87,432319.70
patient9,88,276061.22
patient9,89,1614048.90
patient9,90,256120.16
patient9,91,1224544.26
patient9,92,-102739.51
patient9,93,1889453.23
patient9,94,-175357.48
patient9,95,1994820.26
patient9,96,1315323.58
patient9,97,530824.17
patient9,98,538035.09
patient9,99,1895161.65
patient10,0,1122212.00
patient10,1,648993.25
patient10,2,707458.87
patient10,3,588942.61
patient10,4,678887.90
patient10,5,1463826.05
patient10,6,291726.06
patient10,7,36525.90
patient10,8,963408.57
patient10,9,1739861.90
patient10,10,-27134.94
patient10,11,643175.40
patient10,12,928742.48
patient10,13,436801.00
patient10,14,1818334.70
patient10,15,1200489.03
patient10,16,895472.76
patient10,17,1201275.56
patient10,18,98938.18
patient10,19,351222.31
patient10,20,721858.07
patient10,21,1875820.02
patient10,22,1261700.66
patient10,23,237205.32
patient10,24,593347.96
patient10,25,1244918.15
patient10,26,723747.55
patient10,27,1500798.27
patient10,28,1258867.13
patient10,29,-46371.72
patient10,30,1284557.93
patient10,31,1492955.48
patient10,32,1766070.67
patient10,33,712968.59
patient10,34,1208014.12
patient10,35,495556.62
patient10,36,1630300.21
patient10,37,1518057.06
patient10,38,11172.15
patient10,39,1841098.13
patient10,40,1037753.93
patient10,41,565237.26
patient10,42,460186.63
patient10,43,1684877.62
patient10,44,1112656.87
patient10,45,1822071.13
patient10,46,-151029.41
patient10,47,1782824.38
patient10,48,310883.43
patient10,49,521894.97
patient10,50,1793110.49
patient10,51,1765134.46
patient10,52,101935.56
patient10,53,1570061.05
patient10,54,721454.85
patient10,55,1029199.27
patient10,56,923089.51
patient10,57,-102413.46
patient10,58,1564890.39
patient10,59,1255303.23
patient10,60,1836393.70
patient10,61,1975274.12
patient10,62,1009787.34
patient10,63,1309917.09
patient10,64,203189.35
patient10,65,149398.01
patient10,66,238070.22
patient10,67,1236157.97
patient10,68,1465125.42
patient10,69,861337.01
patient10,70,1267216.11
patient10,71,134175.76
patient10,72,1524443.34
patient10,73,280063.95
patient10,74,-156632.13
patient10,75,1260223.51
patient10,76,36214.81
patient10,77,1827926.25
patient10,78,1765123.79
patient10,79,117515.84
patient10,80,214112.54
patient10,81,1114662.36
patient10,82,280863.04
patient10,83,1973162.33
patient10,84,703516.04
patient10,85,731149.83
patient10,86,839.24
patient10,87,-166730.88
patient10,88,1113671.07
patient10,89,81623.82
patient10,90,846384.87
patient10,91,752569.87
patient10,92,1902416.28
patient10,93,47024.62
patient10,94,522526.91
patient10,95,377438.31
patient10,96,1515482.84
patient10,97,660385.84
patient10,98,1309694.31
patient10,99,-104444.57
patient11,0,1998896.49
patient11,1,1094938.33
patient11,2,1786274.64
patient11,3,1647742.37
patient11,4,651875.20
patient11,5,1289224.65
patient11,6,1255139.48
patient11,7,77898.25
patient11,8,361612.61
patient11,9,18563.94
patient11,10,-30281.34
patient11,11,-34880.95
patient11,12,1692729.72
patient11,13,987663.75
patient11,14,1360670.50
patient11,15,1287834.86
patient11,16,729824.41
patient11,17,460132.03
patient11,18,375455.18
patient11,19,1828374.65
patient11,20,280775.77
patient11,21,-152092.47
patient11,22,90729.48
patient11,23,263621.22
patient11,24,926151.33
patient11,25,1070766.51
patient11,26,26236.48
patient11,27,237882.52
patient11,28,83040.51
patient11,29,1384225.29
patient11,30,528539.18
patient11,31,-23270.45
patient11,32,777144.22
patient11,33,550319.02
patient11,34,-184359.01
patient11,35,680197.20
patient11,36,939886.82
patient11,37,1366984.62
patient11,38,1449252.78
patient11,39,142578.12
patient11,40,1499930.45
patient11,41,1996730.87
patient11,42,1704918.62
patient11,43,1981648.87
patient11,44,254294.41
patient11,45,662302.57
patient11,46,1015924.32
patient11,47,86621.32
patient11,48,1749575.29
patient11,49,1094607.51
patient11,50,886605.83
patient11,51,1890287.64
patient11,52,621358.11
patient11,53,484558.94
patient11,54,46888.63
patient11,55,1346243.64
patient11,56,861353.56
patient11,57,1702610.58
patient11,58,902042.10
patient11,59,1855439.49
patient11,60,945007.47
patient11,61,1352029.08
patient11,62,1424574.94
patient11,63,82512.40
patient11,64,815275.53
patient11,65,232335.34
patient11,66,1013857.68
patient11,67,1667608.68
patient11,68,1954048.55
patient11,69,345537.81
patient11,70,994830.98
patient11,71,1041975.80
patient11,72,514947.56
patient11,73,1522656.97
patient11,74,231170.31
patient11,75,7326.49
patient11,76,633019.56
patient11,77,1784576.93
patient11,78,119224.55
patient11,79,838785.28
patient11,80,-12136.27
patient11,81,137895.76
patient11,82,-45866.37
patient11,83,892345.93
patient11,84,246128.52
patient11,85,1623228.01
patient11,86,1543435.32
patient11,87,491577.57
patient11,88,-160873.09
patient11,89,396816.82
patient11,90,1219982.52
patient11,91,1611734.89
patient11,92,-32485.80
patient11,93,1450122.66
patient11,94,1594483.39
patient11,95,269113.32
patient11,96,1396499.74
patient11,97,482712.82
patient11,98,-156229.38
patient11,99,534610.63
patient12,0,56789.15
patient12,1,1643594.12
patient12,2,1594930.93
patient12,3,97271.56
patient12,4,327728.11
patient12,5,1337671.99
patient12,6,1172904.39
patient12,7,1192835.41
patient12,8,112208.27
patient12,9,1394869.96
patient12,10,504365.98
